audio_id,duration,rms,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
AbeBurrows_5.wav,71.0196875,0.04205772,-290.89423,103.325874,31.520834,18.506176,8.285114,-11.996535,-14.400825,2.9986105,-7.950359,1.6056993,-5.0839276,3.3680446,-5.722221,0
aileenhernandez_0.wav,47.0,0.03793066,-332.6098,119.01166,2.5738273,18.50861,-3.082855,-11.494607,-24.81267,-14.952532,-10.002731,-0.36856177,-13.686606,-9.440687,5.068858,0
aileenhernandez_5_1.wav,38.0,0.07411224,-210.08775,68.21955,1.398461,13.520696,1.7288395,-11.054026,-11.992833,-12.909951,-12.92875,-8.083841,-11.971489,-11.186091,-5.553871,0
aileenhernandez_5_2.wav,90.0,0.03127034,-338.2545,126.70692,15.690623,-8.187232,10.898719,-24.173246,-4.9259753,-7.1055117,-12.267683,5.0884514,-10.25428,-9.548878,-2.497692,0
alanramsey_10.wav,55.0,0.018489152,-361.91226,96.568855,2.2748415,36.88449,4.0569043,-4.235234,-12.525787,-1.5611495,-2.2080557,-4.988342,-7.1435747,-4.4401793,-7.8373337,0
AllanBurns_5.wav,90.0005625,0.027367108,-407.09384,118.736084,30.769571,28.580359,23.306017,19.991411,2.659509,0.69740266,0.42274216,-2.4563925,4.4480605,0.1343577,-4.2307963,0
andrewsachs_10.wav,77.0,0.018098162,-324.18097,121.98773,-5.9629936,25.891489,6.805109,-0.072960824,-3.3669393,11.6109295,-6.4541206,-3.8240712,-1.1422418,-2.442973,-1.2217057,0
andrewsachs_15.wav,90.0,0.024444835,-309.13318,94.43765,16.46163,12.036331,1.4827241,3.7018225,-16.988457,1.0478518,-3.012572,-4.0153913,-2.0416918,-7.6819053,-6.0634413,0
annettemichelson_15.wav,90.0,0.0339788,-386.3643,117.52251,14.186324,2.0311074,-1.4653655,2.3563838,-8.93936,-3.1716373,-1.8537508,-7.9709496,-5.1850414,-9.526637,-6.036968,0
antonyflew_10.wav,90.0,0.046366658,-275.42188,82.64068,16.809923,4.0245757,-1.8053097,-7.523701,-14.786691,-8.041471,-9.628716,2.044536,-2.5475469,-3.8780453,-3.023079,0
antonyflew_5_1.wav,73.0,0.0716182,-239.94783,93.59049,9.915093,30.892607,0.9691655,-1.2932382,-17.920969,-12.720682,-4.8064713,-11.765328,-2.6189573,-5.328564,-2.206793,0
antonyflew_5_2.wav,26.0,0.108278036,-239.09671,119.64323,43.67512,23.675455,-25.258884,-4.2654185,-17.644386,-6.040351,-15.469685,0.15394688,-6.1630135,-5.7999606,-9.983361,0
BarryCohen_5.wav,53.0226875,0.029650021,-298.13263,92.79896,11.249976,10.074338,-14.4194355,2.2512696,-15.377139,-5.8663163,-8.128132,-0.93744797,-0.885489,-3.4719543,-10.380014,0
bbking_0.wav,9.0,0.018195359,-301.66916,104.57631,-6.938878,26.252092,3.2118638,-1.139526,-12.254299,-0.122562245,-13.965517,3.0289345,-4.106565,1.9140737,-5.5361094,0
bbking_10.wav,90.0,0.01674615,-385.04498,89.90442,-6.346187,28.701504,3.8315911,2.6411464,0.6030066,-4.335079,-12.825009,-0.5454771,-8.363408,-3.2713528,-3.9586806,0
bbking_15.wav,78.0,0.05650983,-285.8778,145.74806,3.0989754,25.6837,21.863058,0.8376613,1.7236823,3.9031608,-1.080926,11.561647,2.8283176,6.0159163,2.9853215,0
BenBradlee_15.wav,60.0078125,0.041707754,-290.16068,122.680405,6.479135,22.654755,6.427164,-4.6809025,-10.4560175,-2.388961,-7.6387706,1.720807,-0.69619703,1.5090181,-2.9607282,0
BenBradlee_5.wav,34.0019375,0.08340293,-199.21622,106.74493,-7.7767954,19.734802,-4.811149,0.7149974,-14.808422,-7.8781786,-6.0747976,-6.830282,-7.885989,-5.6202006,-11.804822,0
